time_s,arm_pos_rad,arm_vel_rad_s,pendulum_angle_rad,pendulum_vel_rad_s,control_action,acceleration_cmd_rad_s2,pendulum_angle_unwrapped,sim_cart_pos,sim_pole_angle,env_cart_pos,env_pole_angle,dyn_ghost_sim_pole_angle,env_action
5.90009,-0.2636,-0.7084,-0.8848,0.4449,-0.3994,-19.9691,6.645096780873131,-0.5610766835914093,7.443697438500632,-0.15042521151481492,17.197158116984024,6.882921037001363,-0.05041233450174332
5.92509,-0.2857,-0.8837,-0.788,0.4055,-0.3448,-17.2388,6.949202949740624,-0.6521574461159291,7.54158470819993,-0.16333996099379947,17.664578510396456,6.952690765719544,-0.016847172752022743
5.95019,-0.3151,-1.1733,-0.7101,0.3262,-0.3087,-15.4351,7.193933017455269,-0.7525253037176088,7.552067783982779,-0.17858242113829378,18.218886865197188,6.967152427734288,-0.0518992654979229
5.97508,-0.3726,-2.3068,-0.6622,0.2004,-0.4124,-20.6209,7.344415305562219,-0.864220531816144,7.476528677957203,-0.2003379132644779,18.83122913269025,6.938462198954704,-0.18949203193187714
6.00008,-0.4457,-2.9259,-0.6377,0.1028,-0.4802,-24.0085,7.421384325575168,-0.9804441155971314,7.318293452275915,-0.23185649433162633,19.452622352950772,6.864238979187152,-0.3589586317539215
6.02508,-0.5056,-2.3954,-0.6378,-0.0005,-0.4063,-20.3162,7.421070166309811,-1.0961799632967224,7.085319471800763,-0.26795218933368503,20.023232740165362,6.732406103125126,-0.14586782455444336
6.05008,-0.6121,-4.262,-0.6586,-0.0869,-0.5654,-28.2712,7.355725039115143,-1.1133339894937115,6.727462335573422,-0.29221169471805153,20.497678445699496,6.5943902100799825,0.30085960030555725
6.07515,-0.6961,-3.3477,-0.7015,-0.18,-0.3853,-19.2657,7.220950714276141,-1.1094775498170997,6.314947921027233,-0.3020208762209346,20.87375834438354,6.416132469492212,0.4201289117336273
6.10008,-0.8399,-5.7694,-0.7642,-0.2623,-0.3499,-17.4951,7.02397285489606,-1.110296807042351,5.90685631958585,-0.2934116635418771,21.167452810273296,6.274477104836661,0.5721114277839661
6.12513,-0.939,-3.9573,-0.8433,-0.3313,0.0033,0.1638,6.7754728759971075,-1.1101678741549363,5.536271244450319,-0.26574751411661324,21.39583709826046,6.103136212461593,0.6609134674072266
6.15008,-1.0878,-5.9632,-0.9348,-0.3835,0.4103,20.5139,6.4880171481936415,-1.096282466030618,5.22416804555983,-0.23301572890738648,21.569993535530962,5.985178599648989,0.23993559181690216
6.17508,-1.184,-3.8476,0.9697,-0.3999,0.9346,46.729,6.187995049775816,-1.0532109013799251,4.98418687363668,-0.21219462453578017,21.693630788993637,5.854014453733089,-0.24995355308055878
6.20009,-1.3013,-4.6918,0.8726,-0.407,0.9779,48.8952,5.882946403112247,-0.9820552234931068,4.830944381526875,-0.1935495298120339,21.78617588712553,5.7741094719345725,-0.13473540544509888
6.22513,-1.3563,-2.1954,0.7802,-0.3871,0.9607,48.0342,5.59266324192055,-0.8828954805114219,4.771270262977131,-0.17847365167245927,21.85530172248356,5.694430264763873,-0.10455744713544846
6.25008,-1.4019,-1.8299,0.7007,-0.3329,0.8679,43.3964,5.342906625960162,-0.7631404845204501,4.807777804413735,-0.16298486418368938,21.911538565615995,5.659340580011635,-0.022811317816376686
6.27508,-1.4098,-0.3141,0.6394,-0.2567,0.847,42.3488,5.1503269962951075,-0.6478949632159292,4.941009043645816,-0.1519432104753749,21.955777316922266,5.653520963073295,-0.10032124072313309
6.30008,-1.3892,0.8247,0.6023,1.0,0.4366,21.8276,5.033773908846926,-0.5311288846594524,5.164583512893872,-0.13854756709145283,21.998985303343947,5.685067079536985,0.012035823427140713
6.32516,-1.3563,1.3113,0.5912,-0.0465,0.7911,39.5561,4.99890223039208,-0.41322529000389885,5.46373856531469,-0.13216855996388113,22.036234525103314,5.759752147647862,-0.14128614962100983
6.35008,-1.2851,2.856,0.608,0.0706,0.9522,47.611,5.051680986972388,-0.2948219237608125,5.814567181903653,-0.11952424650851391,22.084191894340787,5.8539501248149755,0.07775651663541794
6.37508,-1.2159,2.7681,0.6506,-1.0,0.7436,37.1797,5.185512834015314,-0.17447094148562617,6.187546566681132,-0.11857753618790949,22.12994658533127,5.984921301540448,-0.22136534750461578
6.40039,-1.0789,5.4123,0.7151,0.27,0.7688,38.4397,5.388145560171854,-0.06062532978168565,6.575319129022345,-0.10975633905456862,22.1969032328182,6.0929488367283975,0.08796442300081253
6.42511,-0.9798,4.0108,0.7968,0.3421,0.3756,18.7822,5.644813679970141,0.03051783777940184,6.944871818286014,-0.1112553003436776,22.27385814560263,6.232363890237628,-0.17571204900741577
6.45013,-0.831,5.9436,0.8922,0.3999,0.1392,6.9599,5.944521619122607,0.15345116866340414,7.261699694467135,-0.10811132600143306,22.382314845022336,6.340457572424794,0.009583733044564724
6.47513,-0.7319,3.9662,0.9971,0.4392,-0.19,-9.5002,6.274074688484176,0.271653591093499,7.524264581685609,-0.11171811188449719,22.52158551603783,6.480064765565106,-0.11618512123823166
6.50008,-0.5846,5.9037,-0.8987,0.4367,-0.1271,-6.3552,6.601428642988234,0.3781655519660801,7.7018285811284155,-0.11771493988320415,22.707859410447792,6.566749303761032,-0.12140239775180817
6.52508,-0.4923,3.6913,-0.8018,0.406,-0.1958,-9.79,6.905848971121085,0.4775625348411892,7.785942397088952,-0.12857735297470016,22.953790879778257,6.670229611279565,-0.14409415423870087
6.55014,-0.3598,5.2892,-0.7195,0.3446,0.1405,7.0267,7.164402046511524,0.5832973690766118,7.7734816573052665,-0.14102297063903954,23.27756263399217,6.712427333874642,-0.08326058834791183
6.57509,-0.271,3.5612,-0.6592,0.2526,0.088,4.3998,7.3538400835229885,0.6904908771839268,7.665840701020579,-0.1545716480763735,23.692165173502858,6.75046524564845,-0.03972674906253815
6.60008,-0.1335,5.4991,-0.625,0.1432,0.3963,19.8156,7.46128255227576,0.8073771202601255,7.465859167836504,-0.16884580752301584,24.199942939703977,6.713583401010593,-0.018435822799801826
6.62509,-0.0353,3.926,-0.6184,0.0276,0.266,13.3005,7.482017063789453,0.9231793376711697,7.184587130516718,-0.1874550008107963,24.783998488181158,6.6671934728887585,-0.10098523646593094
6.65008,0.1134,5.9505,-0.6392,-0.0869,0.3287,16.4371,7.416671936594785,1.0394563984150398,6.83734958773544,-0.21366746071457166,25.404368312356535,6.559765190103152,-0.2809573709964752
6.67516,0.2125,3.9545,-0.6868,-0.1994,0.0161,0.8071,7.267132126283911,1.124652313100598,6.471031898865928,-0.24995462177379915,26.00775031757603,6.463348099478465,-0.3361342251300812
6.7002,0.3613,5.9393,-0.7552,-0.2869,-0.0247,-1.2345,7.052247188778368,1.1084502789702522,6.181306285297748,-0.28392137309507354,26.534623010529355,6.316718782190024,0.09282926470041275
6.72508,0.4604,3.9847,-0.8429,-0.3671,-0.2138,-10.6894,6.776729513058544,1.1026741373575613,5.894186319035603,-0.30199951453420254,26.960840039647547,6.203991745444037,0.3476864993572235
6.75049,0.6072,5.7758,-0.9447,-0.4264,-0.111,-5.5504,6.456915380923103,1.0930392459969158,5.644191116515514,-0.3052978707632544,27.293840410781108,6.0623906351534185,0.5062142610549927
6.77516,0.699,3.7209,0.9547,-0.4213,-0.0756,-3.7814,6.14087115997197,1.0813131378381056,5.463826748158367,-0.2881234265439135,27.55409123246424,5.980950325540178,0.6212747097015381
6.80008,0.832,5.3392,0.8688,-0.36,0.0509,2.5432,5.871008351028606,1.0715636366252521,5.349764055406086,-0.25336151631122983,27.75485532170333,5.896092716126368,0.6511843204498291
6.82513,0.9199,3.5068,0.8044,-0.2695,-0.0358,-1.7901,5.668689784137423,1.0602398066684546,5.315260819755819,-0.22351908080124694,27.901414407143957,5.87524916433076,-0.04088602215051651
6.85007,1.0524,5.3144,0.7698,-0.1452,0.0409,2.0441,5.559990678323216,1.0505517645424813,5.360069016580709,-0.20569954061441145,28.00151053783154,5.858019217697282,-0.30927330255508423
6.87509,1.1408,3.5321,0.7664,-0.0143,-0.2269,-11.3464,5.549309263301011,1.0328297426332358,5.4861633646722305,-0.18589939887639995,28.07660860165129,5.90611259533174,-0.0470542386174202
6.90008,1.2709,5.2048,0.7965,0.1263,-0.3362,-16.8113,5.643871202174064,1.0049811631271928,5.686546878264592,-0.17303027600336587,28.12590676713436,5.955981225652683,-0.14827696979045868
6.92513,1.3504,3.1743,0.7781,-0.0772,-0.4585,-22.9274,5.5860658973480115,0.9630687610024982,5.949468785310062,-0.15509161319922263,28.16556456710064,6.0696899235453055,0.05576736479997635
